INFO | 2026-06-03 08:33:05,531 | trying to remone a solider 
INFO | 2026-06-03 08:33:05,532 | succssesfuly readed 
INFO | 2026-06-03 08:33:05,533 | succsseful saved 
INFO | 2026-06-03 08:33:42,740 | trying to remone a solider 
INFO | 2026-06-03 08:33:42,744 | succssesfuly readed 
INFO | 2026-06-03 08:33:42,744 | {'full_name': 'moty', 'role': 'test', 'id': 5} has succssesfuly removed 
INFO | 2026-06-03 08:33:42,745 | succsseful saved 
INFO | 2026-06-03 08:33:48,893 | trying to remone a solider 
INFO | 2026-06-03 08:33:48,894 | succssesfuly readed 
INFO | 2026-06-03 08:33:48,895 | succsseful saved 
INFO | 2026-06-03 08:34:39,829 | trying to remone a solider 
INFO | 2026-06-03 08:34:39,830 | succssesfuly readed 
INFO | 2026-06-03 08:34:39,831 | succsseful saved 
WARNING | 2026-06-03 08:34:39,832 | id not found 
INFO | 2026-06-03 08:34:56,354 | trying to remone a solider 
INFO | 2026-06-03 08:34:56,356 | succssesfuly readed 
INFO | 2026-06-03 08:34:56,357 | {'full_name': 'moty', 'role': 'test', 'id': 5} has succssesfuly removed 
INFO | 2026-06-03 08:34:56,358 | succsseful saved 
INFO | 2026-06-03 08:34:56,358 | succsseful saved 
WARNING | 2026-06-03 08:34:56,360 | id not found 
INFO | 2026-06-03 08:35:05,922 | trying to remone a solider 
INFO | 2026-06-03 08:35:05,929 | succssesfuly readed 
INFO | 2026-06-03 08:35:05,931 | succsseful saved 
INFO | 2026-06-03 08:35:05,932 | succsseful saved 
WARNING | 2026-06-03 08:35:05,932 | id not found 
INFO | 2026-06-03 08:35:07,097 | trying to remone a solider 
INFO | 2026-06-03 08:35:07,097 | succssesfuly readed 
INFO | 2026-06-03 08:35:07,098 | succsseful saved 
INFO | 2026-06-03 08:35:07,098 | succsseful saved 
WARNING | 2026-06-03 08:35:07,099 | id not found 
INFO | 2026-06-03 08:37:32,996 | succssesfuly readed 
INFO | 2026-06-03 08:37:32,997 | get solider sucssesfuly 
INFO | 2026-06-03 08:38:02,310 | succssesfuly readed 
WARNING | 2026-06-03 08:38:02,311 | id not found 
INFO | 2026-06-03 08:39:38,092 | try to update a solider 
INFO | 2026-06-03 08:39:38,092 | succssesfuly readed 
INFO | 2026-06-03 08:39:38,093 | succsseful saved 
INFO | 2026-06-03 08:39:38,094 | soldier updated succssesfuly 
INFO | 2026-06-03 08:40:35,981 | try to update a solider 
INFO | 2026-06-03 08:40:35,982 | succssesfuly readed 
WARNING | 2026-06-03 08:40:35,983 | id not found 
INFO | 2026-06-03 08:40:49,009 | try to update a solider 
INFO | 2026-06-03 08:40:49,010 | succssesfuly readed 
WARNING | 2026-06-03 08:40:49,010 | id not found 
INFO | 2026-06-03 08:41:01,437 | try to update a solider 
INFO | 2026-06-03 08:41:01,438 | succssesfuly readed 
INFO | 2026-06-03 08:41:01,440 | succsseful saved 
INFO | 2026-06-03 08:41:01,440 | soldier updated succssesfuly:{'full_name': 'moty', 'role': '3', 'id': 9} 
INFO | 2026-06-03 08:43:05,468 | try to add a new solider 
INFO | 2026-06-03 08:43:38,055 | try to add a new solider 
INFO | 2026-06-03 08:43:38,060 | succssesfuly readed 
INFO | 2026-06-03 08:43:38,061 | solider {'full_name': 'nissim', 'id': 6, 'role': 'None'} as aded 
INFO | 2026-06-03 08:43:38,064 | succsseful saved 
